 public | okp_logs                      | таблица            |               |                    | 
 public | okp_matkompl                  | таблица            |               |                    | 
 public | okp_matkompl_num_id_seq       | последовательность |               |                    | 
 public | okp_mclr                      | таблица            |               |                    | 
 public | okp_mclr_id_seq               | последовательность |               |                    | 
 public | okp_mdiag                     | таблица            |               |                    | 
 public | okp_mdiag_id_seq              | последовательность |               |                    | 
 public | okp_mdset                     | таблица            |               |                    | 
 public | okp_mdset_id_seq              | последовательность |               |                    | 
 public | okp_messages                  | таблица            |               |                    | 
 public | okp_messages_id_seq           | последовательность |               |                    | 
 public | okp_mfiltr                    | таблица            |               |                    | 
 public | okp_mfiltr_id_seq             | последовательность |               |                    | 
 public | okp_mfld                      | таблица            |               |                    | 
 public | okp_mfld_id_seq               | последовательность |               |                    | 
 public | okp_mfunc                     | таблица            |               |                    | 
 public | okp_mfunc_id_seq              | последовательность |               |                    | 
 public | okp_mlink                     | таблица            |               |                    | 
 public | okp_mlink_id_seq              | последовательность |               |                    | 
 public | okp_mnf                       | таблица            |               |                    | 
 public | okp_mnf_rwc_seq               | последовательность |               |                    | 
 public | okp_module_item               | таблица            |               |                    | 
 public | okp_module_item_id_seq        | последовательность |               |                    | 
 public | okp_mon                       | таблица            |               |                    | 
 public | okp_mon_id_seq                | последовательность |               |                    | 
 public | okp_mon_mdiag                 | таблица            |               |                    | 
 public | okp_mon_mdiag_id_seq          | последовательность |               |                    | 
 public | okp_mon_mdiag_mdset           | таблица            |               |                    | 
 public | okp_mon_mdiag_mdset_id_seq    | последовательность |               |                    | 
 public | okp_mon_mfld                  | таблица            |               |                    | 
 public | okp_mon_mfld_id_seq           | последовательность |               |                    | 
 public | okp_mparm                     | таблица            |               |                    | 
 public | okp_mparm_id_seq              | последовательность |               |                    | 
 public | okp_msrc                      | таблица            |               |                    | 
 public | okp_msrc_id_seq               | последовательность |               |                    | 
 public | okp_msreq                     | таблица            |               |                    | 
 public | okp_msreq_id_seq              | последовательность |               |                    | 
 public | okp_nds                       | таблица            |               |                    | 
 public | okp_nds_id_seq                | последовательность |               |                    | 
 public | okp_nkl                       | таблица            |               |                    | 
 public | okp_nkl_list                  | таблица            |               |                    | 
 public | okp_nkl_list_rwc_seq          | последовательность |               |                    | 
 public | okp_nkl_rwc_seq               | последовательность |               |                    | 
 public | okp_nnum                      | таблица            |               |                    | 
 public | okp_nnum_bcount_seq           | последовательность |               |                    | 
 public | okp_nom                       | таблица            |               |                    | 
 public | okp_nom_cert                  | таблица            |               |                    | 
 public | okp_nom_cert_id_seq           | последовательность |               |                    | 
 public | okp_nom_cert_snum             | таблица            |               |                    | 
 public | okp_nom_cert_snum_id_seq      | последовательность |               |                    | 
 public | okp_nom_kto                   | таблица            |               |                    | 
 public | okp_nom_kto_id_seq            | последовательность |               |                    | 
 public | okp_nom_rwc_seq               | последовательность |               |                    | 
 public | okp_nomalt                    | таблица            |               |                    | 
 public | okp_nomalt_rwc_seq            | последовательность |               |                    | 
 public | okp_nomlog                    | таблица            |               |                    | 
 public | okp_nomlog_id_seq             | последовательность |               |                    | 
 public | okp_nomrutadd                 | таблица            |               |                    | 
 public | okp_nomrutadd_id_seq          | последовательность |               |                    | 
 public | okp_nomtechinfo               | таблица            |               |                    | 
 public | okp_nomtechinfo_id_seq        | последовательность |               |                    | 
 public | okp_nzp                       | таблица            |               |                    | 
 public | okp_objaccess                 | таблица            |               |                    | 
 public | okp_objaccess_id_seq          | последовательность |               |                    | 
 public | okp_objattr                   | таблица            |               |                    | 
 public | okp_objattr_id_seq            | последовательность |               |                    | 
 public | okp_objlinks                  | таблица            |               |                    | 
 public | okp_objlinks_id_seq           | последовательность |               |                    | 
 public | okp_objmethod                 | таблица            |               |                    | 
 public | okp_objmethod_id_seq          | последовательность |               |                    | 
 public | okp_obsp                      | таблица            |               |                    | 
 public | okp_obsp_calc_sessions        | таблица            |               |                    | 
 public | okp_obsp_calc_sessions_id_seq | последовательность |               |                    | 
 public | okp_obsp_id_seq               | последовательность |               |                    | 
 public | okp_obsp_pot                  | таблица            |               |                    | 
 public | okp_obsp_sts                  | таблица            |               |                    | 
 public | okp_obsp_sts_id_seq           | последовательность |               |                    | 
 public | okp_oplan                     | таблица            |               |                    | 
 public | okp_oplan_data                | таблица            |               |                    | 
 public | okp_oplan_data_id_seq         | последовательность |               |                    | 
 public | okp_oplan_id_seq              | последовательность |               |                    | 
 public | okp_order                     | таблица            |               |                    | 
 public | okp_order_rwc_seq             | последовательность |               |                    | 
 public | okp_ordersum                  | таблица            |               |                    | 
 public | okp_ordersum_order_count_seq  | последовательность |               |                    | 
 public | okp_pasplist                  | таблица            |               |                    | 
 public | okp_pasplist_rwc_seq          | последовательность |               |                    | 
 public | okp_person                    | таблица            |               |                    | 
 public | okp_person_id_seq             | последовательность |               |                    | 
 public | okp_person_job                | таблица            |               |                    | 
 public | okp_person_job_id_seq         | последовательность |               |                    | 
 public | okp_pln                       | таблица            |               |                    | 
 public | okp_pln_id_seq                | последовательность |               |                    | 
 public | okp_plo                       | таблица            |               |                    | 
 public | okp_plo_id_seq                | последовательность |               |                    | 
 public | okp_plodata                   | таблица            |               |                    | 
 public | okp_plodata_id_seq            | последовательность |               |                    | 
 public | okp_plodatappa                | таблица            |               |                    | 
